 LocationID   g_score
        163  8.571442
        164  8.369476
        162  7.634003
        234  7.576529
        100  7.501181
        161  7.127778
        170  6.995218
        141  6.735745
        237  6.445989
        113  6.402613
        230  6.101490
        107  5.987595
        229  5.904918
         43  5.839035
         48  5.832911
         90  5.767247
         68  5.553945
        186  5.297391
        233  5.140453
        249  4.808735
        143  4.724106
        142  4.542881
        236  4.384910
         50  4.159512
        263  4.148493
        114  4.122191
        224  3.840969
        137  3.772041
        246  3.761711
         79  3.727628
        140  3.572688
        125  3.450774
        239  3.297157
        158  3.173860
        262  3.090614
         75  2.929146
        211  2.403449
        232  2.385748
        144  2.367111
          4  2.343280
        238  2.277428
        148  1.939103
         45  1.746158
        199  1.583975
        151  1.484023
        209  1.126135
         13  0.928514
        231  0.912685
        261  0.835499
         24  0.828797
